model_name,num_layers,num_neurons,num_epochs,learning_rate,batch_size,train_loss,train_mae,train_rmse,training_r2,val_loss,val_mae,val_rmse,val_r2,training_time
model 125,2,32,250,0.001,32,0.16894423961639404,0.32258161902427673,0.41102826595306396,0.9233970642089844,0.030819807201623917,0.13592135906219482,0.17555570602416992,0.9864118695259094,54.816040992736816
model 126,2,32,250,0.001,64,0.13229668140411377,0.2819927930831909,0.36372610926628113,0.9400142431259155,0.029102694243192673,0.1304139494895935,0.17059512436389923,0.9871689081192017,34.49890923500061
model 127,2,32,500,0.0001,128,0.18060803413391113,0.3243597745895386,0.4249800443649292,0.9181086421012878,0.029507678002119064,0.13577213883399963,0.17177799344062805,0.9869903922080994,41.59657263755798
model 128,2,32,500,0.0001,32,0.20998865365982056,0.3575931787490845,0.458245187997818,0.9047868251800537,0.03381044417619705,0.14663910865783691,0.183876171708107,0.9850932955741882,115.6509141921997
model 129,2,32,500,0.0001,64,0.18123650550842285,0.33045047521591187,0.4257188141345978,0.9178237915039062,0.029140714555978775,0.13300544023513794,0.17070651054382324,0.9871521592140198,68.86270213127136
model 130,2,32,500,0.0005,128,0.10312886536121368,0.24697557091712952,0.32113683223724365,0.9532392024993896,0.03224274888634682,0.13763076066970825,0.17956265807151794,0.9857845306396484,45.46399974822998
model 131,2,32,500,0.0005,32,0.1691886931657791,0.3217880129814148,0.4113255441188812,0.9232867360115051,0.02823736146092415,0.13086466491222382,0.16803976893424988,0.9875504374504089,110.71551251411438
model 132,2,32,500,0.0005,64,0.11939235776662827,0.26892974972724915,0.34553200006484985,0.9458652138710022,0.03255791217088699,0.1446838676929474,0.1804381161928177,0.9856455326080322,69.40433144569397
model 133,2,32,500,0.001,128,0.10125326365232468,0.24711252748966217,0.3182031810283661,0.9540896415710449,0.041710104793310165,0.15596148371696472,0.20423051714897156,0.9816104769706726,45.68560433387756
model 134,2,32,500,0.001,32,0.16176916658878326,0.3179299831390381,0.40220537781715393,0.9266505241394043,0.030729888007044792,0.13986836373806,0.17529942095279694,0.9864515066146851,110.68137288093567
model 135,2,32,500,0.001,64,0.11364233493804932,0.2606445848941803,0.3371087908744812,0.9484723806381226,0.026884937658905983,0.12857240438461304,0.16396626830101013,0.9881467223167419,69.26491332054138
model 136,2,64,100,0.0001,128,0.3633899688720703,0.4706684648990631,0.6028183698654175,0.8352311849594116,0.03016817197203636,0.1356469988822937,0.17368987202644348,0.9866991639137268,10.53025221824646
model 137,2,64,100,0.0001,32,0.22477783262729645,0.37065479159355164,0.47410741448402405,0.8980801701545715,0.02441394329071045,0.12180884927511215,0.15624961256980896,0.9892361164093018,22.048272371292114
model 138,2,64,100,0.0001,64,0.2273464798927307,0.3713699281215668,0.4768086373806,0.896916389465332,0.024648386985063553,0.11988930404186249,0.15699805319309235,0.9891327619552612,15.11436939239502
model 139,2,64,100,0.0005,128,0.13938136398792267,0.28926384449005127,0.37333813309669495,0.9368014335632324,0.02465248294174671,0.1225690022110939,0.15701109170913696,0.989130973815918,10.110108375549316
