model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,train_R2,val_MSE,val_MAE,val_RMSE,val_R2,training_time
model 1,Gaussian,3,0.0001,128,250,7.237426280975342,2.666116714477539,2.69024658203125,-1.9540257453918457,7.184288024902344,2.656508445739746,2.680352210998535,-1.9100360870361328,29.682027101516724
model 2,Gaussian,4,0.0001,128,250,6.353079319000244,2.494676351547241,2.52053165435791,-1.5930747985839844,6.282697677612305,2.4808168411254883,2.506531000137329,-1.544842004776001,93.45081543922424
model 3,Gaussian,5,0.0001,128,250,7.53275203704834,2.7251791954040527,2.7445859909057617,-2.0745632648468018,7.467348098754883,2.713808298110962,2.73264479637146,-2.024691104888916,229.52805376052856
model 4,Generalized Bell,3,0.0001,128,250,6.636107444763184,2.552720546722412,2.576064348220825,-1.7085978984832764,6.574419975280762,2.541435956954956,2.56406307220459,-1.6630055904388428,31.249991416931152
model 5,Generalized Bell,4,0.0001,128,250,7.597511291503906,2.735689163208008,2.7563583850860596,-2.101012706756592,7.536808490753174,2.7253620624542236,2.7453248500823975,-2.0528266429901123,102.60041332244873
model 6,Generalized Bell,5,0.0001,128,250,6.327295303344727,2.490274667739868,2.515411615371704,-1.5825469493865967,6.3040642738342285,2.4858572483062744,2.510789632797241,-1.5534965991973877,229.5348744392395
model 7,Smoothed Triangular,3,0.0001,128,250,16.981407165527344,3.4707047939300537,4.120850086212158,-5.931147575378418,17.64148712158203,3.5647130012512207,4.200177192687988,-6.145782947540283,33.10219144821167
model 8,Smoothed Triangular,4,0.0001,128,250,20.5584774017334,4.255403518676758,4.534145832061768,-7.391140937805176,20.729551315307617,4.273260593414307,4.552971839904785,-7.396620750427246,99.61704683303833
model 9,Smoothed Triangular,5,0.0001,128,250,20.065195083618164,4.18949031829834,4.479419231414795,-7.189797401428223,20.207828521728516,4.202894687652588,4.495311737060547,-7.185294151306152,224.80112218856812
model 10,Gaussian,3,0.0005,128,250,0.1055273786187172,0.2626936137676239,0.32484978437423706,0.9569277763366699,0.10239635407924652,0.2549758851528168,0.3199943006038666,0.9585238099098206,30.36694049835205
model 11,Gaussian,4,0.0005,128,250,0.10389591753482819,0.2607954442501068,0.3223288953304291,0.9575937986373901,0.10057094693183899,0.25368577241897583,0.3171292245388031,0.9592632055282593,101.15045404434204
model 12,Gaussian,5,0.0005,128,250,0.099264957010746,0.2542478144168854,0.3150634169578552,0.9594838619232178,0.0946689173579216,0.24574905633926392,0.30768314003944397,0.9616538286209106,257.7012436389923
model 13,Generalized Bell,3,0.0005,128,250,0.09943515807390213,0.254251092672348,0.31533339619636536,0.9594144225120544,0.09507326036691666,0.24566085636615753,0.30833950638771057,0.9614900350570679,32.0329225063324
model 14,Generalized Bell,4,0.0005,128,250,0.0953819677233696,0.24906331300735474,0.30883970856666565,0.961068868637085,0.09201376885175705,0.24301210045814514,0.3033377230167389,0.9627293348312378,105.26737356185913
model 15,Generalized Bell,5,0.0005,128,250,0.1001882329583168,0.25463494658470154,0.31652525067329407,0.959106981754303,0.09702760726213455,0.24780435860157013,0.31149256229400635,0.9606984257698059,250.85217547416687
model 16,Smoothed Triangular,3,0.0005,128,250,17.23542022705078,3.93380069732666,4.151556491851807,-6.034825801849365,17.418621063232422,3.9524269104003906,4.173562049865723,-6.0555100440979,33.20424699783325
model 17,Smoothed Triangular,4,0.0005,128,250,0.10718837380409241,0.2646228075027466,0.32739636301994324,0.9562499523162842,0.10430076718330383,0.25835710763931274,0.32295629382133484,0.9577524065971375,105.01764178276062
model 18,Smoothed Triangular,5,0.0005,128,250,10.811521530151367,3.1691439151763916,3.288087844848633,-3.4128308296203613,10.916988372802734,3.181459903717041,3.304086685180664,-3.4219870567321777,243.88342428207397
