model_name,MF_type,MF_num,learning_rate,batch_size,num_epochs,train_MSE,train_MAE,train_RMSE,val_MSE,val_MAE,val_RMSE,training_time
model 39,Gaussian,4,0.0001,32,100,3.0891199111938477,1.727425456047058,1.7575892210006714,3.000030279159546,1.7026054859161377,1.7320595979690552,43.35909175872803
model 40,Gaussian,5,0.0001,32,100,3.1200435161590576,1.7365309000015259,1.7663644552230835,3.033039093017578,1.712388515472412,1.7415622472763062,82.71871161460876
model 41,Generalized Bell,2,0.0001,32,100,1.7183046340942383,1.2689846754074097,1.3108412027359009,1.6528196334838867,1.244280219078064,1.2856203317642212,17.09999179840088
model 42,Generalized Bell,3,0.0001,32,100,2.0529487133026123,1.3973149061203003,1.4328114986419678,1.9812928438186646,1.3726036548614502,1.4075840711593628,25.762800693511963
model 43,Generalized Bell,4,0.0001,32,100,0.9293472766876221,0.8466198444366455,0.9640265703201294,0.8788449764251709,0.8234257698059082,0.9374673366546631,47.001044511795044
model 44,Generalized Bell,5,0.0001,32,100,2.6545307636260986,1.595703363418579,1.6292730569839478,2.5728981494903564,1.5711413621902466,1.6040256023406982,88.17624497413635
model 45,Smoothed Triangular,2,0.0001,32,100,20.56549644470215,4.2563090324401855,4.534919738769531,20.336109161376953,4.231236457824707,4.509557723999023,18.574581623077393
model 46,Smoothed Triangular,3,0.0001,32,100,20.556156158447266,4.254923343658447,4.5338897705078125,20.32670783996582,4.229800224304199,4.508514881134033,27.18131971359253
model 47,Smoothed Triangular,4,0.0001,32,100,13.378801345825195,2.8849403858184814,3.6577043533325195,12.743446350097656,2.786714792251587,3.569796323776245,49.78011989593506
model 48,Smoothed Triangular,5,0.0001,32,100,20.56547737121582,4.256308555603027,4.53491735458374,20.336097717285156,4.231235027313232,4.509556293487549,90.66767930984497
model 49,Gaussian,2,0.0005,32,100,0.10012172907590866,0.25589823722839355,0.31642016768455505,0.09733906388282776,0.2500356137752533,0.3119920790195465,15.994110107421875
model 50,Gaussian,3,0.0005,32,100,0.09809579700231552,0.25136929750442505,0.31320250034332275,0.09494452178478241,0.24352961778640747,0.30813068151474,23.83304238319397
model 51,Gaussian,4,0.0005,32,100,0.10154837369918823,0.2578417658805847,0.31866654753685,0.0984305739402771,0.25141507387161255,0.3137364685535431,43.32926893234253
model 52,Gaussian,5,0.0005,32,100,0.09893013536930084,0.2544950544834137,0.3145316243171692,0.09561682492494583,0.24651123583316803,0.30921971797943115,83.05060815811157
model 53,Generalized Bell,2,0.0005,32,100,0.09821852296590805,0.25381147861480713,0.3133983314037323,0.09582474827766418,0.24840706586837769,0.3095557391643524,16.790730714797974
model 54,Generalized Bell,3,0.0005,32,100,0.10192758589982986,0.2547168433666229,0.31926101446151733,0.09992258250713348,0.2498220056295395,0.31610533595085144,26.500078439712524
model 55,Generalized Bell,4,0.0005,32,100,0.09923698008060455,0.253073126077652,0.31501901149749756,0.09591768682003021,0.24480126798152924,0.30970579385757446,46.100043058395386
model 56,Generalized Bell,5,0.0005,32,100,0.09799844771623611,0.25219571590423584,0.31304705142974854,0.09446229040622711,0.24433229863643646,0.3073471784591675,87.33357739448547
model 57,Smoothed Triangular,2,0.0005,32,100,20.565486907958984,4.256308555603027,4.534918785095215,20.33610725402832,4.231235980987549,4.509557247161865,18.5582172870636
model 58,Smoothed Triangular,3,0.0005,32,100,20.565481185913086,4.256308078765869,4.534917831420898,20.33609390258789,4.231235027313232,4.509555816650391,28.833423376083374
model 59,Smoothed Triangular,4,0.0005,32,100,14.145472526550293,3.5619187355041504,3.7610466480255127,14.03249454498291,3.5438501834869385,3.745997190475464,49.92974138259888
model 60,Smoothed Triangular,5,0.0005,32,100,0.10674812644720078,0.26437413692474365,0.3267233073711395,0.10259391367435455,0.25541943311691284,0.3203028440475464,91.86671471595764
model 61,Gaussian,2,0.001,32,100,0.09934575110673904,0.25536131858825684,0.3151915967464447,0.09612441807985306,0.24617457389831543,0.31003937125205994,16.0329692363739
model 62,Gaussian,3,0.001,32,100,0.09648426622152328,0.2507874667644501,0.31061917543411255,0.09366992115974426,0.24418294429779053,0.3060554265975952,23.734890937805176
model 63,Gaussian,4,0.001,32,100,0.0995972529053688,0.25546136498451233,0.3155903220176697,0.09686567634344101,0.24999308586120605,0.3112325072288513,43.65528964996338
model 64,Gaussian,5,0.001,32,100,0.09803953766822815,0.25319135189056396,0.31311264634132385,0.09553033113479614,0.24630889296531677,0.3090798258781433,86.20107316970825
model 65,Generalized Bell,2,0.001,32,100,0.10567671060562134,0.2629890739917755,0.3250795304775238,0.10188762098550797,0.2546927332878113,0.3191983997821808,17.241722345352173
model 66,Generalized Bell,3,0.001,32,100,0.09733570367097855,0.2527278661727905,0.3119867146015167,0.09524964541196823,0.2479863464832306,0.30862540006637573,25.609424829483032
model 67,Generalized Bell,4,0.001,32,100,0.09571229666471481,0.24982689321041107,0.30937403440475464,0.09356293827295303,0.24452640116214752,0.305880606174469,46.40015172958374
model 68,Generalized Bell,5,0.001,32,100,0.09520125389099121,0.2500480115413666,0.3085469901561737,0.09214597940444946,0.24353858828544617,0.30355554819107056,85.68151211738586
